game_id,_id_game,over_under,Result
8787,664f7ee136cf90b9bbe8c333,240.5,Under
8788,664f7ee136cf90b9bbe8c334,229.0,Over
8789,664f7ee136cf90b9bbe8c335,228.5,Over
8790,664f7ee136cf90b9bbe8c336,218.0,Under
8791,664f7ee136cf90b9bbe8c337,219.5,Over
8792,664f7ee136cf90b9bbe8c338,219.5,Under
8793,664f7ee136cf90b9bbe8c339,218.5,Over
8846,664f7ee136cf90b9bbe8c33a,231.0,Under
8847,664f7ee136cf90b9bbe8c33b,217.0,Over
8848,664f7ee136cf90b9bbe8c33c,224.5,Under
8849,664f7ee136cf90b9bbe8c33d,234.0,Under
8850,664f7ee136cf90b9bbe8c33e,219.0,Under
8851,664f7ee136cf90b9bbe8c33f,200.0,Over
8893,664f7ee136cf90b9bbe8c340,219.0,Over
8894,664f7ee136cf90b9bbe8c341,217.5,Under
8895,664f7ee136cf90b9bbe8c342,216.0,Under
8896,664f7ee136cf90b9bbe8c343,212.5,Under
8897,664f7ee136cf90b9bbe8c344,211.5,Under
8899,664f7ee136cf90b9bbe8c346,219.5,Over
8900,664f7ee136cf90b9bbe8c347,222.5,Under
8901,664f7ee136cf90b9bbe8c348,213.0,Over
8902,664f7ee136cf90b9bbe8c349,217.5,Under
8903,664f7ee136cf90b9bbe8c34a,226.5,Under
8904,664f7ee136cf90b9bbe8c34b,219.5,Under
8905,664f7ee136cf90b9bbe8c34c,212.5,Under
8906,664f7ee136cf90b9bbe8c34d,218.5,Under
8907,664f7ee136cf90b9bbe8c34e,213.5,Under
8908,664f7ee136cf90b9bbe8c34f,219.5,Over
8909,664f7ee136cf90b9bbe8c350,215.0,Under
8910,664f7ee136cf90b9bbe8c351,212.0,Under
8911,664f7ee136cf90b9bbe8c352,214.5,Under
8912,664f7ee136cf90b9bbe8c353,236.5,Under
8913,664f7ee136cf90b9bbe8c354,205.0,Under
8917,664f7ee136cf90b9bbe8c358,223.0,Under
8918,664f7ee136cf90b9bbe8c359,232.0,Over
8919,664f7ee136cf90b9bbe8c35a,215.0,Under
8920,664f7ee136cf90b9bbe8c35b,214.0,Over
8921,664f7ee136cf90b9bbe8c35c,210.5,Over
8922,664f7ee136cf90b9bbe8c35d,211.5,Under
8923,664f7ee136cf90b9bbe8c35e,221.0,Over
8924,664f7ee136cf90b9bbe8c35f,223.5,Under
8925,664f7ee136cf90b9bbe8c360,209.5,Over
8926,664f7ee136cf90b9bbe8c361,209.0,Over
8927,664f7ee136cf90b9bbe8c362,211.0,Under
8928,664f7ee136cf90b9bbe8c363,219.5,Under
8929,664f7ee136cf90b9bbe8c364,224.5,Under
8930,664f7ee136cf90b9bbe8c365,211.0,Under
8931,664f7ee136cf90b9bbe8c366,220.5,Over
8932,664f7ee136cf90b9bbe8c367,224.5,Over
8933,664f7ee136cf90b9bbe8c368,210.0,Under
8934,664f7ee136cf90b9bbe8c369,212.5,Over
8935,664f7ee136cf90b9bbe8c36a,221.0,Over
8936,664f7ee136cf90b9bbe8c36b,211.5,Under
8937,664f7ee136cf90b9bbe8c36c,209.0,Under
8938,664f7ee136cf90b9bbe8c36d,222.0,Over
8939,664f7ee136cf90b9bbe8c36e,223.5,Under
9094,664f7ee136cf90b9bbe8c36f,217.0,Under
9095,664f7ee136cf90b9bbe8c370,207.5,Under
9096,664f7ee136cf90b9bbe8c371,210.5,Under
9097,664f7ee136cf90b9bbe8c372,215.0,Under
9098,664f7ee136cf90b9bbe8c373,220.5,Over
9099,664f7ee136cf90b9bbe8c374,210.5,Over
9100,664f7ee136cf90b9bbe8c375,217.0,Over
9101,664f7ee136cf90b9bbe8c376,215.0,Under
9102,664f7ee136cf90b9bbe8c377,219.5,Under
9103,664f7ee136cf90b9bbe8c378,216.0,Under
9104,664f7ee136cf90b9bbe8c379,227.0,Under
9105,664f7ee136cf90b9bbe8c37a,217.5,Over
9106,664f7ee136cf90b9bbe8c37b,206.0,Over
9107,664f7ee136cf90b9bbe8c37c,216.5,Over
9108,664f7ee136cf90b9bbe8c37d,197.5,Under
9109,664f7ee136cf90b9bbe8c37e,206.0,Under
9110,664f7ee136cf90b9bbe8c37f,230.0,Over
9111,664f7ee136cf90b9bbe8c380,217.0,Over
9112,664f7ee136cf90b9bbe8c381,216.5,Over
9113,664f7ee136cf90b9bbe8c382,214.5,Over
9114,664f7ee136cf90b9bbe8c383,213.5,Over
9115,664f7ee136cf90b9bbe8c384,217.0,Under
9116,664f7ee136cf90b9bbe8c385,210.5,Over
9117,664f7ee136cf90b9bbe8c386,215.5,Over
9118,664f7ee136cf90b9bbe8c387,216.0,Under
9119,664f7ee136cf90b9bbe8c388,223.0,Under
9120,664f7ee136cf90b9bbe8c389,209.0,Over
9121,664f7ee136cf90b9bbe8c38a,205.5,Under
9122,664f7ee136cf90b9bbe8c38b,218.0,Under
9123,664f7ee136cf90b9bbe8c38c,217.0,Over
9124,664f7ee136cf90b9bbe8c38d,215.0,Under
9125,664f7ee136cf90b9bbe8c38e,210.0,Over
9126,664f7ee136cf90b9bbe8c38f,215.5,Under
9127,664f7ee136cf90b9bbe8c390,218.0,Over
9128,664f7ee136cf90b9bbe8c391,205.5,Over
9129,664f7ee136cf90b9bbe8c392,220.0,Under
9130,664f7ee136cf90b9bbe8c393,208.5,Over
9131,664f7ee136cf90b9bbe8c394,218.0,Under
9132,664f7ee136cf90b9bbe8c395,218.0,Over
9134,664f7ee136cf90b9bbe8c397,215.0,Under
9135,664f7ee236cf90b9bbe8c398,211.5,Over
9136,664f7ee236cf90b9bbe8c399,225.0,Over
9137,664f7ee236cf90b9bbe8c39a,212.5,Under
9138,664f7ee236cf90b9bbe8c39b,222.0,Over
9139,664f7ee236cf90b9bbe8c39c,214.5,Over
9140,664f7ee236cf90b9bbe8c39d,215.5,Over
9141,664f7ee236cf90b9bbe8c39e,206.5,Over
9142,664f7ee236cf90b9bbe8c39f,214.0,Under
9143,664f7ee236cf90b9bbe8c3a0,213.5,Under
9144,664f7ee236cf90b9bbe8c3a1,215.0,Over
9145,664f7ee236cf90b9bbe8c3a2,221.5,Over
9146,664f7ee236cf90b9bbe8c3a3,215.5,Under
9147,664f7ee236cf90b9bbe8c3a4,218.0,Over
9148,664f7ee236cf90b9bbe8c3a5,215.0,Under
9149,664f7ee236cf90b9bbe8c3a6,217.5,Under
9150,664f7ee236cf90b9bbe8c3a7,212.5,Over
9151,664f7ee236cf90b9bbe8c3a8,215.5,Over
9152,664f7ee236cf90b9bbe8c3a9,211.5,Over
9153,664f7ee236cf90b9bbe8c3aa,209.5,Under
9154,664f7ee236cf90b9bbe8c3ab,217.5,Over
9155,664f7ee236cf90b9bbe8c3ac,212.5,Over
9156,664f7ee236cf90b9bbe8c3ad,214.5,Over
9157,664f7ee236cf90b9bbe8c3ae,209.0,Over
9158,664f7ee236cf90b9bbe8c3af,223.0,Under
9159,664f7ee236cf90b9bbe8c3b0,219.5,Under
9160,664f7ee236cf90b9bbe8c3b1,218.5,Over
9163,664f7ee236cf90b9bbe8c3b2,222.5,Over
9164,664f7ee236cf90b9bbe8c3b3,209.5,Over
9165,664f7ee236cf90b9bbe8c3b4,219.5,Under
9166,664f7ee236cf90b9bbe8c3b5,223.0,Under
9167,664f7ee236cf90b9bbe8c3b6,216.5,Over
9168,664f7ee236cf90b9bbe8c3b7,228.0,Over
9169,664f7ee236cf90b9bbe8c3b8,212.0,Under
9170,664f7ee236cf90b9bbe8c3b9,215.5,Over
9171,664f7ee236cf90b9bbe8c3ba,205.5,Under
9172,664f7ee236cf90b9bbe8c3bb,225.0,Over
9173,664f7ee236cf90b9bbe8c3bc,213.5,Over
9174,664f7ee236cf90b9bbe8c3bd,211.5,Under
9175,664f7ee236cf90b9bbe8c3be,217.0,Under
9176,664f7ee236cf90b9bbe8c3bf,213.0,Under
9178,664f7ee236cf90b9bbe8c3c1,216.5,Over
9179,664f7ee236cf90b9bbe8c3c2,223.5,Under
9180,664f7ee236cf90b9bbe8c3c3,210.0,Under
9181,664f7ee236cf90b9bbe8c3c4,225.5,Under
9182,664f7ee236cf90b9bbe8c3c5,212.5,Under
9183,664f7ee236cf90b9bbe8c3c6,219.0,Over
9184,664f7ee236cf90b9bbe8c3c7,217.0,Under
9185,664f7ee236cf90b9bbe8c3c8,211.5,Over
9186,664f7ee236cf90b9bbe8c3c9,196.5,Under
