commence_time,home_team,away_team
2021-11-24T03:05:00Z,Portland Trail Blazers,Denver Nuggets
2022-12-11T23:45:14Z,Atlanta Hawks,Chicago Bulls
2022-02-05T00:10:33Z,Charlotte Hornets,Cleveland Cavaliers
2021-11-27T03:30:00Z,Los Angeles Lakers,Sacramento Kings
2022-03-17T23:10:00Z,Orlando Magic,Detroit Pistons
2021-10-29T23:40:50Z,Brooklyn Nets,Indiana Pacers
2022-12-11T20:40:00Z,New Orleans Pelicans,Phoenix Suns
2021-11-15T00:10:25Z,Oklahoma City Thunder,Brooklyn Nets
2022-12-17T21:10:00Z,Los Angeles Clippers,Washington Wizards
2022-12-15T00:41:05Z,Toronto Raptors,Sacramento Kings
2022-03-23T23:10:59Z,Detroit Pistons,Atlanta Hawks
2021-11-13T00:41:00Z,Cleveland Cavaliers,Detroit Pistons
2022-12-01T00:40:00Z,Boston Celtics,Miami Heat
2021-10-20T23:15:00Z,Detroit Pistons,Chicago Bulls
2022-01-08T00:40:03Z,Toronto Raptors,Utah Jazz
2022-03-08T00:11:05Z,Philadelphia 76ers,Chicago Bulls
2021-10-28T02:11:22Z,Portland Trail Blazers,Memphis Grizzlies
2022-10-31T23:00:00Z,Charlotte Hornets,Sacramento Kings
2022-01-14T01:10:35Z,New Orleans Pelicans,Los Angeles Clippers
2022-01-01T01:10:00Z,Memphis Grizzlies,San Antonio Spurs
2021-11-20T00:10:00Z,Charlotte Hornets,Indiana Pacers
2021-12-09T00:40:00Z,Toronto Raptors,Oklahoma City Thunder
2021-12-06T00:10:00Z,Houston Rockets,New Orleans Pelicans
2022-01-13T00:10:49Z,Philadelphia 76ers,Charlotte Hornets
2021-11-16T01:10:18Z,Oklahoma City Thunder,Miami Heat
2022-10-24T00:11:48Z,Oklahoma City Thunder,Minnesota Timberwolves
2022-11-08T03:00:00Z,Golden State Warriors,Sacramento Kings
2022-11-20T23:10:00Z,Washington Wizards,Charlotte Hornets
2022-11-26T03:10:44Z,Golden State Warriors,Utah Jazz
2022-12-15T00:10:00Z,Charlotte Hornets,Detroit Pistons
2022-12-29T00:40:00Z,Atlanta Hawks,Brooklyn Nets
2022-03-06T23:10:00Z,Washington Wizards,Indiana Pacers
2022-12-18T22:11:32Z,Indiana Pacers,New York Knicks
2022-02-02T03:00:00Z,Phoenix Suns,Brooklyn Nets
2021-12-11T00:45:49Z,Atlanta Hawks,Brooklyn Nets
2023-01-03T03:10:00Z,Golden State Warriors,Atlanta Hawks
2022-12-01T00:40:58Z,Boston Celtics,Miami Heat
2021-12-09T00:40:00Z,Miami Heat,Milwaukee Bucks
2022-02-17T01:10:00Z,Chicago Bulls,Sacramento Kings
2022-11-10T00:10:00Z,Indiana Pacers,Denver Nuggets
2021-11-11T03:10:00Z,Golden State Warriors,Minnesota Timberwolves
2021-11-01T23:10:00Z,Indiana Pacers,San Antonio Spurs
2021-11-13T01:00:00Z,Houston Rockets,Portland Trail Blazers
2021-12-24T00:10:32Z,Philadelphia 76ers,Atlanta Hawks
2022-01-24T01:10:20Z,Minnesota Timberwolves,Brooklyn Nets
2022-01-23T23:10:00Z,Miami Heat,Los Angeles Lakers
2022-03-26T00:10:00Z,Minnesota Timberwolves,Dallas Mavericks
2022-11-23T00:32:18Z,Philadelphia 76ers,Brooklyn Nets
2022-01-26T00:30:00Z,Brooklyn Nets,Los Angeles Lakers
2022-03-04T00:10:00Z,Atlanta Hawks,Chicago Bulls
2022-12-22T00:40:00Z,Atlanta Hawks,Chicago Bulls
2022-11-27T20:30:00Z,Minnesota Timberwolves,Golden State Warriors
2021-11-27T02:10:27Z,Utah Jazz,New Orleans Pelicans
2021-11-05T23:10:14Z,Orlando Magic,San Antonio Spurs
2022-03-17T02:10:22Z,Sacramento Kings,Milwaukee Bucks
2022-05-08T00:35:00Z,Golden State Warriors,Memphis Grizzlies
2022-12-01T02:10:25Z,Utah Jazz,Los Angeles Clippers
2022-12-01T00:10:19Z,Orlando Magic,Atlanta Hawks
2022-02-06T20:40:00Z,Minnesota Timberwolves,Detroit Pistons
2022-03-30T23:41:00Z,New York Knicks,Charlotte Hornets
2022-02-10T03:05:00Z,Utah Jazz,Golden State Warriors
2022-12-29T00:10:53Z,Washington Wizards,Phoenix Suns
2022-04-06T01:10:49Z,Denver Nuggets,San Antonio Spurs
2022-12-24T01:00:00Z,Houston Rockets,Dallas Mavericks
2022-11-16T03:10:00Z,Portland Trail Blazers,San Antonio Spurs
2021-12-05T23:10:07Z,Atlanta Hawks,Charlotte Hornets
2022-12-07T00:41:47Z,Miami Heat,Detroit Pistons
2022-01-13T00:40:00Z,Atlanta Hawks,Miami Heat
2021-12-10T01:40:00Z,San Antonio Spurs,Denver Nuggets
2021-12-21T01:10:11Z,Chicago Bulls,Houston Rockets
2022-10-23T21:10:11Z,Atlanta Hawks,Charlotte Hornets
2021-11-23T01:40:00Z,San Antonio Spurs,Phoenix Suns
2021-11-21T00:40:57Z,Boston Celtics,Oklahoma City Thunder
2021-11-16T03:12:12Z,Portland Trail Blazers,Toronto Raptors
2022-11-24T00:10:00Z,Indiana Pacers,Minnesota Timberwolves
2022-12-03T00:10:41Z,Charlotte Hornets,Washington Wizards
2021-12-24T00:10:00Z,Orlando Magic,New Orleans Pelicans
2022-12-20T01:10:00Z,New Orleans Pelicans,Milwaukee Bucks
2022-12-24T03:00:00Z,Phoenix Suns,Memphis Grizzlies
2021-12-30T03:10:00Z,Portland Trail Blazers,Utah Jazz
2021-12-26T23:10:43Z,Sacramento Kings,Memphis Grizzlies
2021-11-14T00:10:58Z,Indiana Pacers,Philadelphia 76ers
2021-12-18T00:40:21Z,Atlanta Hawks,Denver Nuggets
2022-03-18T23:40:21Z,Atlanta Hawks,Memphis Grizzlies
2022-01-04T03:10:39Z,Golden State Warriors,Miami Heat
2022-12-03T02:10:00Z,Phoenix Suns,Houston Rockets
2021-11-28T20:40:47Z,Los Angeles Clippers,Golden State Warriors
2022-12-24T02:10:00Z,Denver Nuggets,Portland Trail Blazers
2022-05-12T23:00:00Z,Philadelphia 76ers,Miami Heat
2022-01-27T01:40:00Z,San Antonio Spurs,Memphis Grizzlies
2021-10-25T23:40:00Z,Miami Heat,Orlando Magic
2022-03-16T23:40:00Z,New York Knicks,Portland Trail Blazers
2022-11-14T01:10:27Z,Chicago Bulls,Denver Nuggets
2022-11-24T01:10:00Z,Milwaukee Bucks,Chicago Bulls
2022-04-23T02:00:00Z,New Orleans Pelicans,Phoenix Suns
2021-11-09T01:10:00Z,Memphis Grizzlies,Minnesota Timberwolves
2021-12-18T03:10:00Z,Minnesota Timberwolves,Los Angeles Lakers
2021-12-25T19:45:00Z,Milwaukee Bucks,Boston Celtics
2022-01-16T01:12:01Z,Miami Heat,Philadelphia 76ers
2022-05-07T19:30:00Z,Milwaukee Bucks,Boston Celtics
2022-12-27T01:10:00Z,Chicago Bulls,Houston Rockets
2022-12-11T00:40:00Z,Cleveland Cavaliers,Oklahoma City Thunder
2022-01-16T23:10:00Z,Sacramento Kings,Houston Rockets
2022-11-24T00:10:00Z,Charlotte Hornets,Philadelphia 76ers
2022-12-06T00:10:16Z,Charlotte Hornets,Los Angeles Clippers
2022-02-04T00:10:54Z,Detroit Pistons,Minnesota Timberwolves
2022-11-10T03:00:00Z,Los Angeles Clippers,Los Angeles Lakers
2021-11-30T01:11:05Z,Houston Rockets,Oklahoma City Thunder
2023-01-05T01:10:00Z,Chicago Bulls,Brooklyn Nets
2021-11-16T00:40:00Z,Atlanta Hawks,Orlando Magic
2021-11-11T02:12:06Z,Phoenix Suns,Portland Trail Blazers
2022-02-17T01:10:00Z,Minnesota Timberwolves,Toronto Raptors
2022-01-24T01:10:00Z,Denver Nuggets,Detroit Pistons
2022-01-10T00:10:00Z,Houston Rockets,Minnesota Timberwolves
2022-11-26T01:11:03Z,Memphis Grizzlies,New Orleans Pelicans
2022-05-02T23:00:00Z,Miami Heat,Philadelphia 76ers
2021-12-19T01:10:32Z,Oklahoma City Thunder,Los Angeles Clippers
2022-03-26T23:10:00Z,Orlando Magic,Sacramento Kings
2022-12-20T00:10:02Z,Philadelphia 76ers,Toronto Raptors
2022-03-05T00:10:36Z,Washington Wizards,Atlanta Hawks
2022-01-09T23:10:00Z,Toronto Raptors,New Orleans Pelicans
2022-11-21T00:10:00Z,Brooklyn Nets,Memphis Grizzlies
2022-02-28T02:11:27Z,Portland Trail Blazers,Denver Nuggets
2022-03-09T00:10:00Z,Orlando Magic,Phoenix Suns
2022-12-26T03:30:00Z,Denver Nuggets,Phoenix Suns
2022-02-06T00:10:49Z,Charlotte Hornets,Miami Heat
2022-11-12T03:40:00Z,Los Angeles Lakers,Sacramento Kings
2022-03-18T23:40:00Z,Atlanta Hawks,Memphis Grizzlies
2022-12-15T02:10:00Z,Denver Nuggets,Washington Wizards
2022-11-09T22:42:19Z,Orlando Magic,Dallas Mavericks
2022-11-17T00:40:00Z,Atlanta Hawks,Boston Celtics
2021-12-16T00:10:00Z,Orlando Magic,Atlanta Hawks
2021-12-16T02:10:00Z,Denver Nuggets,Minnesota Timberwolves
2022-11-27T01:10:11Z,San Antonio Spurs,Los Angeles Lakers
2022-11-10T00:45:39Z,Brooklyn Nets,New York Knicks
2022-01-07T01:10:00Z,New Orleans Pelicans,Golden State Warriors
2022-11-08T01:45:00Z,Chicago Bulls,Toronto Raptors
2022-12-24T02:00:00Z,Denver Nuggets,Portland Trail Blazers
2022-03-01T00:10:00Z,Orlando Magic,Indiana Pacers
2022-03-15T00:10:13Z,Oklahoma City Thunder,Charlotte Hornets
2022-02-13T00:10:00Z,Washington Wizards,Sacramento Kings
2022-12-03T01:10:25Z,Memphis Grizzlies,Philadelphia 76ers
2021-12-01T00:32:50Z,Brooklyn Nets,New York Knicks
2021-10-25T23:40:00Z,Atlanta Hawks,Detroit Pistons
2021-11-27T01:40:12Z,San Antonio Spurs,Boston Celtics
2021-12-03T03:10:00Z,Portland Trail Blazers,San Antonio Spurs
2022-12-20T01:10:00Z,Minnesota Timberwolves,Dallas Mavericks
2022-03-20T23:40:31Z,New York Knicks,Utah Jazz
2021-11-11T00:45:26Z,Houston Rockets,Detroit Pistons
2022-01-15T23:30:00Z,Milwaukee Bucks,Toronto Raptors
2022-02-08T00:10:29Z,Charlotte Hornets,Toronto Raptors
2021-10-23T22:10:00Z,Cleveland Cavaliers,Atlanta Hawks
2022-04-01T23:10:00Z,Washington Wizards,Dallas Mavericks
2022-04-08T00:10:00Z,Minnesota Timberwolves,San Antonio Spurs
2022-01-15T00:10:00Z,Detroit Pistons,Toronto Raptors
2022-10-19T23:44:00Z,Brooklyn Nets,New Orleans Pelicans
2022-01-07T03:00:00Z,Phoenix Suns,Los Angeles Clippers
2022-02-06T23:12:42Z,Cleveland Cavaliers,Indiana Pacers
2022-03-08T00:11:00Z,Detroit Pistons,Atlanta Hawks
2021-11-27T23:10:00Z,Philadelphia 76ers,Minnesota Timberwolves
2022-12-06T00:30:00Z,Toronto Raptors,Boston Celtics
2021-10-24T00:10:00Z,Chicago Bulls,Detroit Pistons
2022-03-31T00:10:00Z,Oklahoma City Thunder,Atlanta Hawks
2022-03-05T00:40:00Z,Toronto Raptors,Orlando Magic
2022-04-06T23:40:00Z,New York Knicks,Brooklyn Nets
2022-01-07T01:00:00Z,Memphis Grizzlies,Detroit Pistons
2022-02-11T00:40:43Z,New Orleans Pelicans,Miami Heat
2022-02-28T00:10:55Z,Houston Rockets,Los Angeles Clippers
2022-03-10T00:00:00Z,Detroit Pistons,Chicago Bulls
2023-01-01T01:10:00Z,Minnesota Timberwolves,Detroit Pistons
2022-01-14T00:30:00Z,Milwaukee Bucks,Golden State Warriors
2021-10-30T23:30:00Z,Indiana Pacers,Toronto Raptors
2022-01-21T00:32:34Z,Dallas Mavericks,Phoenix Suns
2022-12-25T19:30:00Z,Dallas Mavericks,Los Angeles Lakers
2021-12-07T00:10:00Z,Indiana Pacers,Washington Wizards
2022-12-21T00:33:00Z,New York Knicks,Golden State Warriors
2021-12-24T02:10:00Z,Phoenix Suns,Oklahoma City Thunder
2022-03-31T23:33:00Z,Brooklyn Nets,Milwaukee Bucks
2022-02-10T03:10:00Z,Portland Trail Blazers,Los Angeles Lakers
2022-03-23T23:41:58Z,Miami Heat,Golden State Warriors
2022-02-02T01:12:24Z,Chicago Bulls,Orlando Magic
2022-02-10T01:10:17Z,Oklahoma City Thunder,Toronto Raptors
2022-01-15T00:10:00Z,Charlotte Hornets,Orlando Magic
2022-01-10T00:10:00Z,Oklahoma City Thunder,Denver Nuggets
2022-04-04T01:40:00Z,Los Angeles Clippers,New Orleans Pelicans
2022-01-13T00:11:00Z,Washington Wizards,Orlando Magic
2022-05-16T00:02:56Z,Phoenix Suns,Dallas Mavericks
2022-02-27T01:10:00Z,Cleveland Cavaliers,Washington Wizards
2022-11-26T01:00:00Z,San Antonio Spurs,Los Angeles Lakers
2022-03-10T03:10:00Z,Sacramento Kings,Denver Nuggets
2021-10-25T23:40:45Z,Toronto Raptors,Chicago Bulls
2021-12-28T02:10:40Z,Phoenix Suns,Memphis Grizzlies
2022-03-05T03:10:00Z,Phoenix Suns,New York Knicks
2022-04-30T01:05:00Z,Minnesota Timberwolves,Memphis Grizzlies
2022-12-28T00:40:00Z,Toronto Raptors,Los Angeles Clippers
2023-01-01T00:10:00Z,San Antonio Spurs,Dallas Mavericks
2021-12-26T03:45:00Z,Utah Jazz,Dallas Mavericks
2021-12-13T00:10:00Z,San Antonio Spurs,New Orleans Pelicans
2022-11-08T01:15:34Z,Atlanta Hawks,Milwaukee Bucks
2022-04-23T20:30:00Z,Utah Jazz,Dallas Mavericks
2022-02-27T18:10:00Z,New York Knicks,Philadelphia 76ers
2022-02-12T00:10:00Z,Detroit Pistons,Charlotte Hornets
2022-10-25T23:11:02Z,Washington Wizards,Detroit Pistons
2022-03-27T22:10:00Z,Boston Celtics,Minnesota Timberwolves
2021-11-03T23:10:37Z,Washington Wizards,Toronto Raptors
2021-11-17T03:00:00Z,Utah Jazz,Philadelphia 76ers
2021-11-01T23:40:51Z,New York Knicks,Toronto Raptors
2022-10-28T00:10:53Z,Oklahoma City Thunder,Los Angeles Clippers
2021-11-08T00:10:00Z,Oklahoma City Thunder,San Antonio Spurs
2022-05-09T23:33:20Z,Milwaukee Bucks,Boston Celtics
2022-11-05T23:40:37Z,Atlanta Hawks,New Orleans Pelicans
2022-11-19T01:11:24Z,Houston Rockets,Indiana Pacers
2021-11-10T02:10:32Z,Utah Jazz,Atlanta Hawks
2022-11-27T23:10:00Z,Boston Celtics,Washington Wizards
2022-12-10T00:45:59Z,Philadelphia 76ers,Los Angeles Lakers
2022-01-13T01:40:14Z,San Antonio Spurs,Houston Rockets
2022-03-06T01:10:44Z,Memphis Grizzlies,Orlando Magic
2022-10-31T23:40:00Z,Toronto Raptors,Atlanta Hawks
2022-02-27T01:40:34Z,Milwaukee Bucks,Brooklyn Nets
2022-10-23T00:14:00Z,Milwaukee Bucks,Houston Rockets
2022-04-09T01:30:00Z,Utah Jazz,Phoenix Suns
2022-03-17T00:00:00Z,Houston Rockets,Phoenix Suns
2021-11-14T00:10:00Z,New Orleans Pelicans,Memphis Grizzlies
2022-11-17T00:11:09Z,Orlando Magic,Minnesota Timberwolves
2023-01-02T01:10:00Z,Memphis Grizzlies,Sacramento Kings
2022-10-30T22:10:00Z,Detroit Pistons,Golden State Warriors
2022-02-06T23:11:42Z,Dallas Mavericks,Atlanta Hawks
2021-12-21T00:47:19Z,Boston Celtics,Philadelphia 76ers
2022-10-23T23:11:00Z,Cleveland Cavaliers,Washington Wizards
2022-03-20T22:10:18Z,Atlanta Hawks,New Orleans Pelicans
2022-03-17T00:10:00Z,Houston Rockets,Phoenix Suns
2022-03-14T23:10:18Z,Cleveland Cavaliers,Los Angeles Clippers
2022-02-11T00:10:00Z,Detroit Pistons,Memphis Grizzlies
2022-12-12T00:10:00Z,Houston Rockets,Milwaukee Bucks
2021-10-30T23:10:27Z,New Orleans Pelicans,New York Knicks
2022-10-26T23:45:46Z,Milwaukee Bucks,Brooklyn Nets
2022-02-08T01:12:18Z,Chicago Bulls,Phoenix Suns
2022-10-29T23:59:00Z,Chicago Bulls,Philadelphia 76ers
2022-11-01T23:40:00Z,Miami Heat,Golden State Warriors
2022-03-12T01:10:00Z,Miami Heat,Cleveland Cavaliers
2022-12-03T03:10:00Z,Golden State Warriors,Chicago Bulls
2022-04-08T00:10:33Z,Minnesota Timberwolves,San Antonio Spurs
2021-11-09T00:10:57Z,Philadelphia 76ers,New York Knicks
2021-11-03T23:10:00Z,Orlando Magic,Boston Celtics
2022-02-08T01:13:07Z,Oklahoma City Thunder,Golden State Warriors
2022-03-30T23:45:47Z,Boston Celtics,Miami Heat
2022-01-06T01:10:00Z,Minnesota Timberwolves,Oklahoma City Thunder
2022-01-06T01:10:00Z,Milwaukee Bucks,Toronto Raptors
2022-02-17T01:10:00Z,Memphis Grizzlies,Portland Trail Blazers
2022-11-15T00:40:00Z,Boston Celtics,Oklahoma City Thunder
2021-11-20T02:10:46Z,Denver Nuggets,Chicago Bulls
2022-10-29T23:10:36Z,Charlotte Hornets,Golden State Warriors
2022-12-27T03:10:00Z,Portland Trail Blazers,Charlotte Hornets
2022-01-20T00:40:00Z,Boston Celtics,Charlotte Hornets
2022-11-10T00:40:19Z,Atlanta Hawks,Utah Jazz
2022-03-31T23:10:59Z,Detroit Pistons,Philadelphia 76ers
2022-10-19T23:44:36Z,Brooklyn Nets,New Orleans Pelicans
2021-12-02T03:40:00Z,Los Angeles Clippers,Sacramento Kings
2022-05-10T23:33:15Z,Miami Heat,Philadelphia 76ers
2022-12-26T03:45:00Z,Denver Nuggets,Phoenix Suns
2022-03-01T00:42:45Z,Miami Heat,Chicago Bulls
2021-11-02T23:11:04Z,Detroit Pistons,Milwaukee Bucks
2022-03-15T23:40:00Z,Miami Heat,Detroit Pistons
2022-03-27T19:40:00Z,Detroit Pistons,New York Knicks
2022-02-26T00:10:00Z,Charlotte Hornets,Toronto Raptors
2021-10-31T00:10:00Z,Memphis Grizzlies,Miami Heat
2023-01-06T00:30:00Z,Dallas Mavericks,Boston Celtics
2021-10-20T23:30:00Z,Toronto Raptors,Washington Wizards
2021-12-16T01:40:00Z,San Antonio Spurs,Charlotte Hornets
2022-02-04T00:10:16Z,San Antonio Spurs,Miami Heat
2022-04-02T00:11:10Z,Houston Rockets,Sacramento Kings
2022-11-24T01:10:16Z,Milwaukee Bucks,Chicago Bulls
2022-11-29T02:10:22Z,Utah Jazz,Chicago Bulls
2021-11-28T01:05:00Z,Chicago Bulls,Miami Heat
2022-03-03T03:10:00Z,Phoenix Suns,Portland Trail Blazers
2022-11-29T00:11:15Z,Washington Wizards,Minnesota Timberwolves
2021-11-30T00:40:00Z,Miami Heat,Denver Nuggets
2022-11-24T00:11:39Z,Cleveland Cavaliers,Portland Trail Blazers
2022-04-08T23:11:15Z,Detroit Pistons,Milwaukee Bucks
2022-01-26T00:10:13Z,Toronto Raptors,Charlotte Hornets
2022-01-18T03:40:00Z,Los Angeles Lakers,Utah Jazz
2021-10-28T23:10:00Z,Washington Wizards,Atlanta Hawks
2022-01-02T23:10:25Z,Sacramento Kings,Miami Heat
2021-11-16T01:10:00Z,Minnesota Timberwolves,Phoenix Suns
2021-12-26T23:11:09Z,Washington Wizards,Philadelphia 76ers
2022-03-21T23:41:13Z,Philadelphia 76ers,Miami Heat
2022-01-09T23:10:00Z,Orlando Magic,Washington Wizards
2022-01-17T18:10:00Z,New York Knicks,Charlotte Hornets
2022-05-18T00:40:00Z,Miami Heat,Boston Celtics
2022-11-26T01:00:00Z,Oklahoma City Thunder,Chicago Bulls
2021-12-20T01:10:00Z,Philadelphia 76ers,New Orleans Pelicans
2022-03-08T01:40:36Z,Dallas Mavericks,Utah Jazz
2022-10-19T23:10:00Z,Detroit Pistons,Orlando Magic
2022-04-10T23:10:00Z,Orlando Magic,Miami Heat
2022-03-17T02:10:55Z,Golden State Warriors,Boston Celtics
2021-11-23T01:11:43Z,Milwaukee Bucks,Orlando Magic
2022-12-21T00:40:00Z,Miami Heat,Chicago Bulls
2022-01-14T01:40:00Z,Brooklyn Nets,Oklahoma City Thunder
2022-04-28T02:00:00Z,Golden State Warriors,Denver Nuggets
2021-11-14T23:10:43Z,Atlanta Hawks,Milwaukee Bucks
2022-11-27T20:40:00Z,Minnesota Timberwolves,Golden State Warriors
2022-03-05T02:11:28Z,Denver Nuggets,Houston Rockets
2022-11-04T23:10:00Z,Indiana Pacers,Miami Heat
2021-10-28T02:00:00Z,Portland Trail Blazers,Memphis Grizzlies
2021-10-24T23:10:00Z,Oklahoma City Thunder,Philadelphia 76ers
2021-10-28T23:11:04Z,Philadelphia 76ers,Detroit Pistons
2022-03-29T23:11:00Z,Washington Wizards,Chicago Bulls
2021-12-13T00:10:00Z,Oklahoma City Thunder,Dallas Mavericks
2022-12-17T01:40:00Z,Dallas Mavericks,Portland Trail Blazers
2022-03-21T23:40:00Z,Brooklyn Nets,Utah Jazz
2021-10-27T23:41:00Z,Brooklyn Nets,Miami Heat
2021-12-15T00:40:00Z,Brooklyn Nets,Toronto Raptors
2022-03-05T00:10:00Z,Detroit Pistons,Indiana Pacers
2022-03-30T23:40:00Z,Toronto Raptors,Minnesota Timberwolves
2022-02-26T02:10:00Z,Phoenix Suns,New Orleans Pelicans
2022-12-04T23:10:00Z,Detroit Pistons,Memphis Grizzlies
2021-12-26T23:10:00Z,Sacramento Kings,Memphis Grizzlies
2022-12-31T00:10:00Z,Orlando Magic,Washington Wizards
2022-02-03T03:10:00Z,Utah Jazz,Denver Nuggets
2022-10-23T19:40:59Z,Los Angeles Lakers,Portland Trail Blazers
2022-12-01T01:10:36Z,Minnesota Timberwolves,Memphis Grizzlies
2022-01-29T03:10:00Z,Milwaukee Bucks,New York Knicks
2022-02-03T03:40:00Z,Los Angeles Lakers,Portland Trail Blazers
2022-11-08T03:31:33Z,Los Angeles Clippers,Cleveland Cavaliers
2021-11-19T02:10:00Z,Denver Nuggets,Philadelphia 76ers
2022-02-03T01:10:00Z,Houston Rockets,Cleveland Cavaliers
2022-11-08T01:00:58Z,Philadelphia 76ers,Phoenix Suns
2021-10-31T02:10:00Z,Phoenix Suns,Cleveland Cavaliers
2022-11-01T00:10:00Z,Milwaukee Bucks,Detroit Pistons
2022-02-16T01:10:00Z,New Orleans Pelicans,Memphis Grizzlies
2022-11-17T00:10:00Z,Washington Wizards,Oklahoma City Thunder
2022-01-05T00:10:00Z,Cleveland Cavaliers,Memphis Grizzlies
2022-10-21T23:40:00Z,Miami Heat,Boston Celtics
2022-12-29T03:10:00Z,Sacramento Kings,Denver Nuggets
2022-12-09T03:10:00Z,Portland Trail Blazers,Denver Nuggets
2022-01-22T00:41:04Z,Boston Celtics,Portland Trail Blazers
2021-12-20T01:10:00Z,Phoenix Suns,Charlotte Hornets
2021-11-11T00:40:00Z,Houston Rockets,Detroit Pistons
2022-02-01T00:10:00Z,Indiana Pacers,Los Angeles Clippers
2022-04-17T22:41:04Z,Milwaukee Bucks,Chicago Bulls
2022-11-27T23:10:48Z,Boston Celtics,Washington Wizards
2022-03-18T23:40:41Z,New York Knicks,Washington Wizards
2022-12-16T01:10:00Z,Memphis Grizzlies,Milwaukee Bucks
2021-11-09T03:10:00Z,Sacramento Kings,Phoenix Suns
2021-12-10T00:11:51Z,Philadelphia 76ers,Utah Jazz
2021-10-20T23:00:00Z,Charlotte Hornets,Indiana Pacers
2022-01-22T00:40:00Z,Boston Celtics,Portland Trail Blazers
2022-04-02T00:10:00Z,Milwaukee Bucks,Los Angeles Clippers
2021-10-21T02:15:00Z,Phoenix Suns,Denver Nuggets
2022-03-14T01:10:00Z,Phoenix Suns,Los Angeles Lakers
2022-02-06T00:10:00Z,Charlotte Hornets,Miami Heat
2021-12-03T00:40:52Z,Toronto Raptors,Milwaukee Bucks
2022-10-24T23:10:47Z,Philadelphia 76ers,Indiana Pacers
2022-03-31T00:10:00Z,Houston Rockets,Sacramento Kings
2022-01-13T00:10:00Z,Washington Wizards,Orlando Magic
2022-03-26T02:40:00Z,Los Angeles Clippers,Philadelphia 76ers
2022-05-16T00:00:00Z,Phoenix Suns,Dallas Mavericks
2022-01-27T00:40:00Z,Miami Heat,New York Knicks
2022-11-26T00:30:00Z,New York Knicks,Portland Trail Blazers
2022-06-09T01:00:00Z,Boston Celtics,Golden State Warriors
2021-10-23T00:10:00Z,Houston Rockets,Oklahoma City Thunder
2022-11-04T23:10:52Z,Philadelphia 76ers,New York Knicks
2021-11-01T23:10:00Z,Charlotte Hornets,Cleveland Cavaliers
2021-11-25T00:40:00Z,Boston Celtics,Brooklyn Nets
2021-10-27T23:30:00Z,New Orleans Pelicans,Atlanta Hawks
2022-03-13T19:30:00Z,Boston Celtics,Dallas Mavericks
2022-02-27T00:40:00Z,Atlanta Hawks,Toronto Raptors
2021-12-09T00:10:26Z,Charlotte Hornets,Philadelphia 76ers
2021-11-02T23:40:00Z,Dallas Mavericks,Miami Heat
2022-04-16T19:30:00Z,Memphis Grizzlies,Minnesota Timberwolves
2022-10-26T00:10:00Z,Oklahoma City Thunder,Los Angeles Clippers
2022-11-11T00:41:46Z,Miami Heat,Charlotte Hornets
2021-11-16T00:10:00Z,Detroit Pistons,Sacramento Kings
2022-03-15T00:40:13Z,San Antonio Spurs,Minnesota Timberwolves
2022-11-15T03:00:00Z,Golden State Warriors,San Antonio Spurs
2022-02-05T03:10:00Z,Dallas Mavericks,Philadelphia 76ers
2021-12-22T01:10:00Z,New Orleans Pelicans,Portland Trail Blazers
2022-12-17T03:10:00Z,Los Angeles Lakers,Denver Nuggets
2021-11-16T01:10:16Z,Memphis Grizzlies,Houston Rockets
2022-11-08T01:31:48Z,Miami Heat,Portland Trail Blazers
2022-12-16T01:11:16Z,Houston Rockets,Miami Heat
2021-12-05T01:40:00Z,Dallas Mavericks,Memphis Grizzlies
2022-04-05T23:45:08Z,Miami Heat,Charlotte Hornets
2022-11-24T00:43:40Z,Miami Heat,Washington Wizards
2022-10-23T00:14:44Z,Milwaukee Bucks,Houston Rockets
2021-12-11T01:10:26Z,New Orleans Pelicans,Detroit Pistons
2021-12-11T00:40:33Z,Toronto Raptors,New York Knicks
2022-03-29T23:11:00Z,Philadelphia 76ers,Milwaukee Bucks
2023-01-04T01:10:33Z,Milwaukee Bucks,Washington Wizards
2022-03-22T00:10:00Z,Chicago Bulls,Toronto Raptors
2022-04-07T01:10:20Z,Utah Jazz,Oklahoma City Thunder
2022-12-15T00:10:32Z,Indiana Pacers,Golden State Warriors
2022-12-18T01:10:26Z,Cleveland Cavaliers,Dallas Mavericks
2021-11-04T23:40:00Z,Miami Heat,Boston Celtics
2022-02-02T01:10:00Z,Minnesota Timberwolves,Denver Nuggets
2022-11-10T00:40:51Z,Boston Celtics,Detroit Pistons
2022-11-12T23:11:00Z,Washington Wizards,Utah Jazz
2022-02-01T00:10:00Z,Philadelphia 76ers,Memphis Grizzlies
2021-11-08T02:10:00Z,Los Angeles Clippers,Charlotte Hornets
2021-11-05T23:40:00Z,Milwaukee Bucks,New York Knicks
2021-12-09T00:09:59Z,Cleveland Cavaliers,Chicago Bulls
2022-01-13T03:10:00Z,Chicago Bulls,Brooklyn Nets
2022-11-17T00:05:00Z,Washington Wizards,Oklahoma City Thunder
2022-12-24T00:30:00Z,New York Knicks,Chicago Bulls
2022-11-08T01:45:08Z,Chicago Bulls,Toronto Raptors
2022-12-24T01:10:00Z,Miami Heat,Indiana Pacers
2021-10-29T00:10:56Z,Houston Rockets,Utah Jazz
2022-04-18T02:00:00Z,Milwaukee Bucks,Chicago Bulls
2022-11-03T00:10:09Z,San Antonio Spurs,Toronto Raptors
